Country,Continent,Rank,Title,Artists,Album,Explicit,Duration,Popularity
Austria,Europe,38,Lose Somebody,"Kygo, OneRepublic",Lose Somebody,0,3:19,12
Austria,Europe,39,goosebumps,Travis Scott,Birds In The Trap Sing McKnight,1,4:03,56
Austria,Europe,40,HIGHEST IN THE ROOM,Travis Scott,HIGHEST IN THE ROOM,1,2:55,34
Austria,Europe,41,MAMACITA,"Black Eyed Peas, Ozuna, J. Rey Soul",MAMACITA,1,4:09,88
Austria,Europe,42,WHATS POPPIN,Jack Harlow,Sweet Action,1,2:19,33
Austria,Europe,43,Close Your Eyes,"Felix Jaehn, VIZE, Miss Li",Close Your Eyes,0,2:40,76
Austria,Europe,44,Boss Bitch,Doja Cat,Boss Bitch,0,2:14,89
Austria,Europe,45,Never Let Me Down,"VIZE, Tom Gregory",Never Let Me Down,0,2:33,23
Austria,Europe,46,Like I Love You,"Nico Santos, Topic",Nico Santos,0,3:23,43
Austria,Europe,47,Ride It,Regard,Ride It,0,2:37,10
Austria,Europe,48,bad guy,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",0,3:14,98
Austria,Europe,49,Before You Go,Lewis Capaldi,Divinely Uninspired To A Hellish Extent (Extended Edition),0,3:35,65
Austria,Europe,50,SICKO MODE,Travis Scott,ASTROWORLD,1,5:12,23
Belgium,Europe,1,Blinding Lights,The Weeknd,After Hours,0,3:20,87
Belgium,Europe,2,ROCKSTAR (feat. Roddy Ricch),"DaBaby, Roddy Ricch",BLAME IT ON BABY,1,3:01,23
Belgium,Europe,3,Roses - Imanbek Remix,"SAINt JHN, Imanbek",Roses (Imanbek Remix),1,2:56,76
Belgium,Europe,4,Kom Wat Dichterbij - Uit Liefde Voor Muziek,"Regi, Jake Reese, OT",Vergeet De Tijd,0,3:24,18
Belgium,Europe,5,Toosie Slide,Drake,Dark Lane Demo Tapes,1,4:07,19
Belgium,Europe,6,Breaking Me,"Topic, A7S",Breaking Me,0,2:46,13
Belgium,Europe,7,ily (i love you baby) (feat. Emilee),"Surf Mesa, Emilee",ily (i love you baby) (feat. Emilee),0,2:56,45
Belgium,Europe,8,GOOBA,6ix9ine,GOOBA,1,2:12,65
